L,Lambda,tau,H,nmax,a_H,a_H_over_Lam,max_kappa_lower_half,H_eq_1_plus_lowermax,shift_identity,aH_eq_half_plus_aHm1,matches_old_tables,hist,a_c
2,2,2,1,1,1,0.5000,0,True,True,True,True,1,1
3,6,4,2,2,4,0.6667,1,True,True,True,True,3 2,1 4
4,12,6,3,1,11,0.9167,2,True,True,True,True,5 5 1,1 5 11
5,60,12,4,2,58,0.9667,3,True,True,True,True,11 27 19 2,1 7 28 58
6,60,12,4,2,58,0.9667,3,True,True,True,True,11 27 19 2,1 7 28 58
7,420,24,5,1,418,0.9952,4,True,True,True,True,23 131 186 78 1,1 8 53 208 418
8,840,32,5,9,769,0.9155,4,True,True,True,True,31 221 380 198 9,1 9 53 349 769
9,2520,48,5,94,2027,0.8044,4,True,True,True,True,47 476 1119 783 94,1 11 137 767 2027
10,2520,48,5,94,2027,0.8044,4,True,True,True,True,47 476 1119 783 94,1 11 137 767 2027
11,27720,96,6,22,26149,0.9433,5,True,True,True,True,95 2034 9610 11803 4155 22,1 13 247 3049 12289 26149
12,27720,96,6,22,26149,0.9433,5,True,True,True,True,95 2034 9610 11803 4155 22,1 13 247 3049 12289 26149
13,360360,192,6,7553,269323,0.7474,5,True,True,True,True,191 8504 79018 164122 100971 7553,1 16 571 11797 89143 269323
14,360360,192,6,7553,269323,0.7474,5,True,True,True,True,191 8504 79018 164122 100971 7553,1 16 571 11797 89143 269323
15,360360,192,6,7553,269323,0.7474,5,True,True,True,True,191 8504 79018 164122 100971 7553,1 16 571 11797 89143 269323
16,720720,240,6,23748,528083,0.7327,5,True,True,True,True,239 12816 138380 323795 221741 23748,1 17 683 19441 167723 528083
17,12252240,480,7,1484,11540143,0.9419,6,True,True,True,True,479 53751 1152841 4685574 4971316 1386794 1484,1 19 1523 83471 1329943 5414023 11540143
18,12252240,480,7,1484,11540143,0.9419,6,True,True,True,True,479 53751 1152841 4685574 4971316 1386794 1484,1 19 1523 83471 1329943 5414023 11540143
19,232792560,960,7,1226590,186234043,0.8000,6,True,True,True,True,959 223572 9407122 66150469 105761609 50022238 1226590,1 23 3823 481319 10252523 69837763 186234043
20,232792560,960,7,1226590,186234043,0.8000,6,True,True,True,True,959 223572 9407122 66150469 105761609 50022238 1226590,1 23 3823 481319 10252523 69837763 186234043
21,232792560,960,7,1226590,186234043,0.8000,6,True,True,True,True,959 223572 9407122 66150469 105761609 50022238 1226590,1 23 3823 481319 10252523 69837763 186234043
22,232792560,960,7,1226590,186234043,0.8000,6,True,True,True,True,959 223572 9407122 66150469 105761609 50022238 1226590,1 23 3823 481319 10252523 69837763 186234043
