a,a_over_Lambda,a_minus_half
26577893791,0.99278138,13192321591
26579328751,0.99283499,13193756551
26590731337,0.99326091,13205159137
26591399873,0.99328589,13205827673
26592087901,0.99331159,13206515701
26592139741,0.99331352,13206567541
26592659339,0.99333293,13207087139
26592697741,0.99333437,13207125541
26592814627,0.99333873,13207242427
26592815957,0.99333878,13207243757
26592846659,0.99333993,13207274459
26593108937,0.99334973,13207536737
26593146317,0.99335112,13207574117
26593244269,0.99335478,13207672069
26593259293,0.99335534,13207687093
26593276153,0.99335597,13207703953
26593278329,0.99335605,13207706129
26593278407,0.99335606,13207706207
26593284349,0.99335628,13207712149
26594093623,0.99338651,13208521423
26594315989,0.99339481,13208743789
26595236579,0.99342920,13209664379
26639180929,0.99507068,13253608729
26639713267,0.99509057,13254141067
26639785027,0.99509325,13254212827
26639964311,0.99509994,13254392111
26640364783,0.99511490,13254792583
26641521909,0.99515813,13255949709
26641615387,0.99516162,13256043187
26641804081,0.99516867,13256231881
26641971749,0.99517493,13256399549
26641982149,0.99517532,13256409949
26642020469,0.99517675,13256448269
26642489201,0.99519426,13256917001
26642535709,0.99519600,13256963509
26642585941,0.99519787,13257013741
26642586469,0.99519789,13257014269
26642674997,0.99520120,13257102797
26642683867,0.99520153,13257111667
26642735629,0.99520346,13257163429
26642736313,0.99520349,13257164113
26642761111,0.99520442,13257188911
26643653749,0.99523776,13258081549
26643719419,0.99524021,13258147219
26643728593,0.99524055,13258156393
26644017821,0.99525136,13258445621
26645169373,0.99529437,13259597173
26645337391,0.99530065,13259765191
26645386249,0.99530247,13259814049
26645457607,0.99530514,13259885407
26645677831,0.99531337,13260105631
26645683019,0.99531356,13260110819
26645685793,0.99531366,13260113593
26645690717,0.99531385,13260118517
26645690807,0.99531385,13260118607
26645745799,0.99531590,13260173599
26645749393,0.99531604,13260177193
26645753077,0.99531618,13260180877
26645773009,0.99531692,13260200809
26645788453,0.99531750,13260216253
26645793133,0.99531767,13260220933
26645797837,0.99531785,13260225637
26645803447,0.99531806,13260231247
26645834641,0.99531922,13260262441
26645857813,0.99532009,13260285613
26645860753,0.99532020,13260288553
26645917789,0.99532233,13260345589
26645932343,0.99532287,13260360143
26645934379,0.99532295,13260362179
26645936299,0.99532302,13260364099
