L,M,eta,t_found,log10_t,g_over_M
31,5,0.3,61.7259189833286,1.7904675644835581,0.7472271545673612
31,5,0.2,104.495864972214,2.019099105229076,0.9042335616100148
31,5,0.1,104.495864972214,2.019099105229076,0.9042335616100148
31,5,0.05,1411.7816771249,3.149767541084819,0.9813208292673057
43,6,0.3,109.363304291358,2.038871623485737,0.7156029199675863
43,6,0.2,381.774687551965,2.581807130393614,0.8632332359904574
43,6,0.1,672.912580683728,2.827958647890157,0.9232055538213654
43,6,0.05,2630.66479312144,3.420065512558423,0.9781994311212995
53,7,0.3,364.274033278924,2.561428214322876,0.8286055398715905
53,7,0.2,364.274033278924,2.561428214322876,0.8286055398715905
53,7,0.1,3303.90218712626,3.519027181438862,0.9030298651182456
53,7,0.05,39845.1601216745,4.600375576419645,0.9729076985290878
61,8,0.3,362.585629331849,2.5594105873337942,0.8095306197912744
61,8,0.2,362.585629331849,2.5594105873337942,0.8095306197912744
61,8,0.1,31281.2707653418,4.495284387455769,0.9223202277866768
61,8,0.05,32990.2336575741,4.518385391502778,0.9516336213419009
71,9,0.3,538.515181643825,2.73119795129454,0.7248543933355283
71,9,0.2,2815.75158999995,3.4495943380230076,0.8132316545159193
71,9,0.1,7905.41958835602,3.8979249255106967,0.9374804520166311
71,9,0.05,161340.261856983,5.207742757472141,0.9654558671349913
73,10,0.3,1293.30073600194,3.111699524725402,0.7161080348237671
73,10,0.2,3809.9215088057,3.580916028525042,0.8026617887974521
73,10,0.1,7905.72060201184,3.897941461771604,0.934429046955543
73,10,0.05,716988.696346673,5.8555123088714796,0.9673929841500589
101,11,0.3,643.734481786948,2.8087067728367745,0.7145830495260825
101,11,0.2,1529.30000970532,3.1844926912845635,0.8389349486527269
101,11,0.1,384681.818688893,5.585101660625295,0.9013920139131162
101,11,0.05,1040206.20682854,6.0171194408475275,0.9543116550647444
103,12,0.3,643.361461402544,2.8084550422645864,0.7281809998262069
103,12,0.2,16934.8932848817,4.22878246428546,0.8170321617805705
103,12,0.1,711358.281176565,5.852088391653687,0.9015978973072697
103,12,0.05,66388408.2671791,7.822092256098829,0.9694253319190285
109,13,0.3,643.697750690917,2.8086819915521017,0.729988119535099
109,13,0.2,40719.8005436265,4.609805642044455,0.8047094567198191
109,13,0.1,8697518.37323493,6.939395354854075,0.9423836466865008
109,13,0.05,53792199.6298536,7.730719303485711,0.9559992809438393
113,14,0.3,5422.3858345485,3.73419041694302,0.7283240857277359
113,14,0.2,86139.8098252988,4.935203908616336,0.8036531731770781
113,14,0.1,11039178.5894048,7.0429367593206615,0.933361280913564
113,14,0.05,69243466.3736978,7.840378800816401,0.9559668895802932
139,15,0.3,25552.6200298403,4.407435437001642,0.7079368313454387
139,15,0.2,127824.706060332,5.1066148027166065,0.8257503310550702
139,15,0.1,72058738.3459058,7.857686653925768,0.9223043901815825
139,15,0.05,838043275.549498,8.923266445655434,0.9575065975913186
157,16,0.3,17291.0691739859,4.237821848219331,0.7106689831611276
157,16,0.2,238482.255310827,5.377456070138026,0.8115903958675557
157,16,0.1,20900499.3588741,7.320156662484871,0.9015873654228692
157,16,0.05,1507643363.63582,9.178298620364801,0.9556724621194179
173,17,0.3,167693.04359232,5.224515047149133,0.7025958845686634
173,17,0.2,3345607.9104535,6.524475042333425,0.8297221212850466
173,17,0.1,1896085969.48657,9.277858024577574,0.9129635613266699
173,17,0.05,182756208431.235,11.261872139346057,0.9554708540807255
