L,M,eta,grid_tau_star,grid_lower_bound,lll_upper,lll_g_over_M
31,5,0.3,60.08541,,61.7259189833286,0.7472271545673612
31,5,0.2,102.420038,,104.495864972214,0.9042335616100148
31,5,0.1,104.084385,,104.495864972214,0.9042335616100148
43,6,0.3,108.415253,,109.363304291358,0.7156029199675863
43,6,0.2,380.079002,,381.774687551965,0.8632332359904574
43,6,0.1,671.862178,,672.912580683728,0.9232055538213654
53,7,0.3,361.608896,,364.274033278924,0.8286055398715905
53,7,0.2,363.036809,,364.274033278924,0.8286055398715905
53,7,0.1,3303.500517,,3303.90218712626,0.9030298651182456
61,8,0.3,360.293416,,362.585629331849,0.8095306197912744
61,8,0.2,361.914825,,362.585629331849,0.8095306197912744
61,8,0.1,31280.270694,,31281.2707653418,0.9223202277866768
71,9,0.3,537.350084,,538.515181643825,0.7248543933355283
71,9,0.2,2814.920335,,2815.75158999995,0.8132316545159193
71,9,0.1,7904.11304,,7905.41958835602,0.9374804520166311
73,10,0.3,1292.381272,,1293.30073600194,0.7161080348237671
73,10,0.2,3809.57223,,3809.9215088057,0.8026617887974521
73,10,0.1,7904.529806,,7905.72060201184,0.934429046955543
101,11,0.3,642.730297,,643.734481786948,0.7145830495260825
101,11,0.2,1527.739729,,1529.30000970532,0.8389349486527269
101,11,0.1,384681.547709,,384681.818688893,0.9013920139131162
103,12,0.3,642.024586,,643.361461402544,0.7281809998262069
103,12,0.2,16933.936249,,16934.8932848817,0.8170321617805705
103,12,0.1,711358.003651,,711358.281176565,0.9015978973072697
109,13,0.3,642.049208,,643.697750690917,0.729988119535099
109,13,0.2,40719.309699,,40719.8005436265,0.8047094567198191
109,13,0.1,4412087.684864,,8697518.37323493,0.9423836466865008
113,14,0.3,5421.106627,,5422.3858345485,0.7283240857277359
113,14,0.2,86139.368147,,86139.8098252988,0.8036531731770781
113,14,0.1,11039177.340325,,11039178.5894048,0.933361280913564
139,15,0.3,25551.981446,,25552.6200298403,0.7079368313454387
139,15,0.2,127823.527795,,127824.706060332,0.8257503310550702
139,15,0.1,72058737.337142,,72058738.3459058,0.9223043901815825
157,16,0.3,17290.292283,,17291.0691739859,0.7106689831611276
157,16,0.2,238481.453471,,238482.255310827,0.8115903958675557
157,16,0.1,20900499.077402,,20900499.3588741,0.9015873654228692
173,17,0.3,2636.654077,,167693.04359232,0.7025958845686634
173,17,0.2,2016396.346067,,3345607.9104535,0.8297221212850466
173,17,0.1,733837774.585484,,1896085969.48657,0.9129635613266699
181,18,0.3,2637.312508,,2638.58712369147,0.7239722101838038
181,18,0.2,2162983.328411,,2162983.6330277,0.801662979594921
181,18,0.1,,1252149000.0,58312905924.8281,0.904763126149712
191,19,0.3,73366.995905,,73367.4335392895,0.703207657812066
191,19,0.2,6406403.049506,,67102908.6354278,0.8272354627080728
191,19,0.1,,1200120000.0,39591646000.5419,0.9091283374858904
193,20,0.3,60322.593188,,60322.6342395737,0.700028135037321
193,20,0.2,6406402.799067,,6406403.83529781,0.8233424237822723
193,20,0.1,1374606999.891701,,791202633313.745,0.9343666894505727
199,21,0.3,60321.341611,,60322.3467464446,0.7164933031878012
199,21,0.2,6406403.263549,,539377717.994642,0.841576762695227
199,21,0.1,,1214518000.0,4964662184827.97,0.9025363324201746
239,22,0.3,623044.891768,,1430092.46283852,0.7201826464053437
239,22,0.2,259381510.470476,,259381511.488266,0.816596208036923
239,22,0.1,,1202007000.0,153402959390.51,0.9028852933552578
241,23,0.3,1569261.731692,,6191538.8713343,0.7364976387257884
241,23,0.2,357549596.787103,,4628007359.93448,0.8051329875833181
241,23,0.1,,1111594000.0,584538338846.885,0.9075501009255097
251,24,0.3,1421208.051506,,,
251,24,0.2,357549597.462778,,,
251,24,0.1,,1407357000.0,,
269,25,0.3,558030.99501,,,
269,25,0.2,22438263.454885,,,
269,25,0.1,,1180221000.0,,
271,26,0.3,558030.972299,,,
271,26,0.2,22438263.5329,,,
271,26,0.1,,1059054000.0,,
283,27,0.3,558031.447942,,,
283,27,0.2,,981111700.0,,
283,27,0.1,,981111700.0,,
