L,M,mean_u,var_u,pair_ineq_ok,min_ratio_lhs_rhs,f1_over_M,max_1_10_over_M,argmax_t
31,5,0.29110128976046096,0.054086539087193464,True,2.418939113815867,0.973126800266958,0.973126800266958,1.0
61,8,0.2948078488147548,0.047726424511705355,True,2.4191020463068997,0.976323621556224,0.976323621556224,1.0
100,10,0.3283530892169951,0.032915444297381066,True,2.4338856087213356,0.9836318704779272,0.9836318704779272,1.0
173,17,0.30499111137081725,0.04173907686989489,True,2.427487124175296,0.9792528357677877,0.9792528357677877,1.0
251,24,0.31507145429592504,0.04213566222376106,True,2.4259199834182983,0.9790672644655761,0.9790672644655761,1.0
353,31,0.31473668595446297,0.04146414324470272,True,2.425945261429516,0.9794041623275723,0.9794041623275723,1.0
1000,73,0.3092508821963193,0.037868105461034855,True,2.429859012539192,0.9811768783786701,0.9811768783786701,1.0
10000,560,0.30981175152953394,0.03937210112606551,True,2.4284794688804667,0.9804330512093135,0.9804330512093135,1.0
100000,4459,0.3101062531165179,0.039320845054418956,True,2.4284215368177158,0.9804592488511465,0.9804592488511465,1.0
1000000,36960,0.309935470328933,0.03916069696805859,,nan,0.9805387822834484,0.9805387822834484,1.0
10000000,316066,0.309346114292765,0.03917461897299935,,nan,0.9805319669827819,0.9805319669827819,1.0
